name,absence,rle,dx,dy,symType,period,required,req dx,req dy,forbidden 1,forbid 1 dx,forbid 1 dy,forbidden 2,forbid 2 dx,forbid 2 dy
medium MW,8,10bo$8bo3bo3$6b9o$6b2o5b2o$5b2o7b2o$5bo9bo2$b2o2b3o5b3o2b2o$bo2bob2o5b2obo2bo$2bobobo7bobobo$b2ob2o9b2ob2o$o2bo3b3ob3o3bo2bo$bobob2o7b2obobo$2bo2bobo5bobo2bo$8bobobo$4b4o2bo2b4o$5bob7obo$3bobo9bobo$b3obo2b2ob2o2bob3o$o5bo2bobo2bo5bo$bob2obobo3bobob2obo$2b2obobo5bobob2o$6bo7bo!,-10,0,@,4,6b11o$6b11o$5b13o$5b13o$5b13o$b21o$b21o$b21o$b21o$23o$23o$23o$b21o$2b19o$3b18o$3b18o$b20o$23o$23o$23o$b10ob10o$2b8o3b8o$6b3o5b3o!,-11,3,,,,,,
small HW sparker,8,7b2o$2b2obo4bob2o$2bo10bo$3b2o6b2o$3o2b6o2b3o$o2bo8bo2bo$b2o10b2o!,-7,0,@,4,2b3o7b4o$2b14o$b15o$18o$18o$18o$7o3b8o$b4o8b4o!,-8,0,,,,,,
blocked HW,8,11b2o$4bo3bo6bo3bo$3bobo12bobo$3bobo12bobo$2obobob10obobob2o$2obo16bob2o$3bo16bo$3bobo4b2obo4bobo$4b2o4bob2o4b2o!,-11,0,@,4,4b3o12b3o$3b4o12b3o$3b20o$26o$26o$26o$26o$3b20o$3b20o$4b19o!,-12,0,,,,,,
medium HW,8,9b2o$7bo4bo3$5b10o$5b2o6b2o$4b2o8b2o$4bo10bo2$2b3o10b3o$2b4o2bo2bo2b4o$bo6b4o6bo$b6o6b6o$o5b8o5bo$b5o2bo2bo2b5o$5bo8bo$3bo12bo$3b2o10b2o!,-9,0,@,4,8b6o$5b12o$5b12o$4b14o$4b14o$4b14o$2b18o$2b18o$b20o$b20o$22o$22o$22o$b20o$3b16o$3b16o$3b4o8b4o!,-10,2,,,,,,
medium domino,8,8b2o2$5bo6bo$5bob4obo$2o2b2ob4ob2o2b2o$o4bo6bo4bo$b3o10b3o$3bobo6bobo$b3o3bo2bo3b3o$o6b4o6bo$2o14b2o$4b10o2$3bob2ob2ob2obo$5bobo2bobo$b3obobo2bobob3o$o3b2ob4ob2o3bo$b2o12b2o$3b4ob2ob4o$3bo2bob2obo2bo!,-8,0,@,4,5b10o$20o$20o$20o$20o$20o$20o$20o$20o$20o$20o$20o$20o$20o$20o$20o$b18o$3b14o$3b14o!,-9,2,,,,,,
large domino,8,12b2o3$8bo8bo$6bo2b8o2bo$6bo12bo$2o3bo14bo3b2o$obob2o3b2o4b2o3b2obobo$bo3bo3b3o2b3o3bo3bo$2b3ob2o10b2ob3o$5bob2o8b2obo$4obo4b2o2b2o4bob4o$o2bo4b2o6b2o4bo2bo$4b2o4bo4bo4b2o2$7bo10bo$2o5bob8obo5b2o$obobo2b2o8b2o2bobobo$2bob3o12b3obo$bo3bo4b2o2b2o4bo3bo$b5o4bo4bo4b5o$5bob2obo4bob2obo$ob2obobobo6bobobob2obo$2ob2o16b2ob2o!,-12,0,@,4,6b16o$6b16o$28o$28o$28o$28o$28o$28o$28o$28o$28o$28o$28o$28o$28o$28o$28o$28o$13o2b13o$13o2b13o$13o2b13o$8o12b8o!,-13,3,16b2o3$12bo8bo$10bo2b8o2bo$10bo12bo$4b2o3bo14bo3b2o$4bobob2o3b2o4b2o3b2obobo$5bo3bo3b3o2b3o3bo3bo$6b3ob2o10b2ob3o$9bob2o8b2obo$b2ob4obo4b2o2b2o4bob4o$obobo2bo4b2o6b2o4bo2bo$bo6b2o4bo4bo4b2o2$11bo10bo$4b2o5bob8obo5b2o$4bobobo2b2o8b2o2bobobo$6bob3o12b3obo$5bo3bo4b2o2b2o4bo3bo$5b5o4bo4bo4b5o$9bob2obo4bob2obo$4bob2obobobo6bobobob2obo$4b2ob2o16b2ob2o!,-16,0,12b2o3$8bo8bo$6bo2b8o2bo$6bo12bo$2o3bo14bo3b2o$obob2o3b2o4b2o3b2obobo$bo3bo3b3o2b3o3bo3bo$2b3ob2o10b2ob3o$5bob2o8b2obo$4obo4b2o2b2o4bob4ob2o$o2bo4b2o6b2o4bo2bobobo$4b2o4bo4bo4b2o6bo2$7bo10bo$2o5bob8obo5b2o$obobo2b2o8b2o2bobobo$2bob3o12b3obo$bo3bo4b2o2b2o4bo3bo$b5o4bo4bo4b5o$5bob2obo4bob2obo$ob2obobobo6bobobob2obo$2ob2o16b2ob2o!,-12,0
blocked triple dot,8,4bo3bobobo3bo$3bobo9bobo$3bobo9bobo$2obobob7obobob2o$2obo13bob2o$3bo13bo$3bobo4bo4bobo$4b2o3bobo3b2o$10bo!,-10,0,@,4,4b3o9b3o$3b4o9b4o$3b17o$23o$23o$23o$23o$2b19o$2b19o$3b17o$10b3o!,-11,-1,,,,,,
medium triple dot,8,6bobobo$2b2o9b2o$bobo9bobo$bobob7obobo$2o13b2o$2bobo7bobo$2bobo7bobo$3bo2b5o2bo$4b2o5b2o$b3o9b3o$bo2bobo3bobo2bo$2b2o4bo4b2o!,-8,0,@,4,2b3o9b3o$b5o7b5o$b17o$19o$19o$19o$2b15o$b16o$b17o$b17o$b17o$b17o$b16o!,-9,0,,,,,,
large triple dot,8,11bobobo$8bo9bo$7b2o9b2o$3bo3b2ob7ob2o3bo$2bobo17bobo$2bobobo13bobobo$b2obobo3bobobobo3bobob2o$bo5bobob2ob2obobo5bo$2b2ob2o2bobo3bobo2b2ob2o$3bobo3bo2b3o2bo3bobo$3bob4ob2o3b2ob4obo$2obobo3bo2bobo2bo3bobob2o$o2bo2b3o2bo3bo2b3o2bo2bo$2b2ob2o2b2o5b2o2b2ob2o$4bo3bo9bo3bo$4bobobo9bobobo$5b2ob2o7b2ob2o!,-13,0,@,4,8b13o$3b23o$2b25o$2b25o$b27o$b27o$b27o$b27o$2b25o$29o$29o$29o$29o$2b25o$3b23o$5b19o$5b7o5b7o!,-14,1,,,,,,
double t nosed,8,2bo5bo$2bo5bo$b3o3b3o2$2ob2ob2ob2o2$2bo5bo$2b2o3b2o$2bobobobo$2bobobobo2$3b2ob2o$2b2obob2o$3obobob3o2$2o7b2o$bo7bo$ob2o3b2obo$bob5obo$2o3bo3b2o$bo2bobo2bo$2obobobob2o$bob2ob2obo$o9bo$b2obobob2o$2bobobobo$o2bo3bo2bo$2obobobob2o$2bobobobo$2bobobobo$3bo3bo!,-8,0,@,4,2b3o3b3o$2b9o$13o$13o$13o$13o$13o$13o$13o$13o$13o$13o$13o$13o$13o$13o$13o$13o$13o$13o$13o$13o$13o$13o$13o$13o$13o$2b9o$2b9o$3b3ob3o!,-9,2,,,,,,
unusual dot variant,8,9bo$7bo3bo$6bo5bo$9bo$2b2obob2ob2obob2o$bo15bo$bobo3bo3bo3bobo$2bo2b2o5b2o2bo$obobo9bobobo$2o2bo9bo2b2o$4bobo5bobo$5bo7bo$6bo5bo$2o5bo3bo5b2o$o5bobobobo5bo$b4o2b2ob2o2b4o$3bo11bo$b2o13b2o$bo15bo$2bo13bo$b2o13b2o!,-9,0,@,4,b19o$21o$21o$21o$21o$21o$21o$21o$21o$21o$21o$21o$21o$21o$b19o$b4o11b4o$b4o11b4o$b4o11b4o$b4o11b4o!,-10,3,9bo$7bo3bo$6bo5bo$9bo$2b2obob2ob2obob2o$bo15bo$bobo3bo3bo3bobo$2bo2b2o5b2o2bo$obobo9bobobo$2o2bo9bo2b2o$4bobo5bobo$5bo7bo$6bo5bo$2o5bo3bo5b2o$o5bobobobo5bo$b4o2b2ob2o2b4o$3bo11bo$b2o13b2o$bo15bo$2bo13bo$b2o13b2o2$b2o$obo$bo!,-9,0,9bo$7bo3bo$6bo5bo$9bo$2b2obob2ob2obob2o$bo15bo$bobo3bo3bo3bobo$2bo2b2o5b2o2bo$obobo9bobobo$2o2bo9bo2b2o$4bobo5bobo$5bo7bo$6bo5bo$2o5bo3bo5b2o$o5bobobobo5bo$b4o2b2ob2o2b4o$3bo11bo$b2o13b2o$bo15bo$2bo13bo$b2o13b2o2$16b2o$16bobo$17bo!,-9,0
double dot,8,6bo4bo$2b2o10b2o$bobo10bobo$bobob8obobo$2o14b2o$2bobo8bobo$2bobo8bobo$3bo2b6o2bo$4b2o6b2o$b3o10b3o$bo2bobo4bobo2bo$2b2o4b2o4b2o!,-6,0,@,4,2b3o11b3o$b18o$b18o$20o$20o$20o$2b17o$2b17o$b18o$b18o$b18o$b18o$2b16o!,-7,0,,,,,,
domino with double dot behind,8,9b2o$6bo6bo$2b2o12b2o$bobo12bobo$bobob10obobo$2o16b2o$2bobo10bobo$2bobo10bobo$3bo2b8o2bo$4b2o8b2o$b3o12b3o$bo2bobo6bobo2bo$2b2o12b2o$9b2o$9b2o!,-9,0,@,4,2b3o12b3o$b4o12b3o$b20o$b20o$22o$22o$22o$21o$b20o$b20o$b20o$b20o$b20o$2b4o3b4o3b4o$9b4o$9b4o!,-10,0,,,,,,
double domino w middle dot,8,8b2obob2o$4b2o11b2o$4b3o9b3o$8b7o$2o3b2o9b2o3b2o$o2b2ob2o7b2ob2o2bo$b3obo2b2o3b2o2bob3o$8b2o3b2o$b4obo4bo4bob4o$o2bo2bob7obo2bo2bo$bo3b2obo2bo2bob2o3bo$2b3o4b2ob2o4b3o$6b2obo3bob2o$2b4obobobobobob4o$bobo5bobobo5bobo$bo3b4o5b4o3bo$2b3o4b2ob2o4b3o$4bo2bo2bobo2bo2bo$7b2o5b2o!,-11,0,@,4,4b4o9b4o$4b17o$4b17o$25o$25o$25o$25o$25o$25o$25o$25o$25o$b23o$b23o$b23o$b23o$b23o$b23o$2b21o$5b14o!,-12,0,,,,,,
double domino,8,9b2o4b2o$5b2o12b2o$5b3o10b3o$9b8o$b2o3b2o10b2o3b2o$bo2b2ob2o8b2ob2o2bo$2b3obobob2o2b2obobob3o$11b4o$4b2o3bo6bo3b2o$3bo2b2o2b2o2b2o2b2o2bo$2bob2o2bobo4bobo2b2obo$2bo3bobo2bo2bo2bobo3bo$b2obob2o2b2o2b2o2b2obob2o$o2b3o14b3o2bo$bo5b5o2b5o5bo$2b5obo2bo2bo2bob5o$4bo16bo!,-10,0,@,4,5b4o10b4o$5b5o8b5o$5b18o$b26o$b26o$b26o$b26o$b26o$b26o$b26o$b26o$b26o$28o$28o$28o$b26o$2b24o$4b3o14b3o!,-11,0,,,,,,
dot with double domino behind,8,12bo$8b2o5b2o$4b2o13b2o$4b3o11b3o$8b9o$2o3b2o11b2o3b2o$o2b2ob2o9b2ob2o2bo$b3obo2b2o2bo2b2o2bob3o$8b2obobob2o$b3ob2o2bo5bo2b2ob3o$2bo4b2o3bo3b2o4bo$o3b3o5bo5b3o3bo$4o3b2obobobob2o3b4o$3bo2bo2bo5bo2bo2bo$2bo3b2o2b5o2b2o3bo$2b2o8bo8b2o!,-12,0,@,4,4b4o11b4o$4b19o$4b19o$27o$27o$27o$27o$27o$27o$27o$27o$27o$27o$2b23o$2b23o$2b23o!,-13,1,,,,,,
domino with double domino behind,8,12b2o$8b2o6b2o$4b2o14b2o$4b3o12b3o$8b10o$2o3b2o12b2o3b2o$o2b2o3bob2o2b2obo3b2o2bo$b3ob2o4bo2bo4b2ob3o$5bob2o3b2o3b2obo$3b2obo3bob2obo3bob2o$2bo3b5o4b5o3bo$2bo8bo2bo8bo$3b3ob2o2bo2bo2b2ob3o$8bo3b2o3bo$2bob4o10b4obo$2b2obo14bob2o!,-12,0,@,4,4b5o11b4o$4b20o$4b20o$28o$28o$28o$28o$28o$2b24o$2b24o$2b24o$2b24o$2b24o$2b24o$2b9ob4ob9o$2b8o8b8o!,-13,1,,,,,,
